title,genres,product rating,user score,user ratings count,platform,metascore,metascore_count,img,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release date,last_update
Voodoo Vince,3D Platformer,Rated T For Teen,,,XB,73,38,/games/boxart/6860961ccc.gif,Microsoft Game Studios,Beep Industries,,0.12,0.09,,0.03,0.0,2003-09-23,
CRYMACHINA,Action RPG,Rated T For Teen,6.7,11.0,PS5,65,18,/games/boxart/full_2924104AmericaFrontccc.jpg,Unknown,FuRyu Corporation,,,,,,,10/24/2023,2023-08-06
CRYMACHINA,Action RPG,Rated T For Teen,6.7,11.0,NS,74,7,/games/boxart/full_5521766AmericaFrontccc.jpg,Unknown,FuRyu Corporation,,,,,,,10/24/2023,2023-08-06
CRYMACHINA,Action RPG,Rated T For Teen,6.7,11.0,PC,tbd,2,/games/boxart/full_8880201AmericaFrontccc.jpg,Unknown,FuRyu Corporation,,,,,,,10/24/2023,2023-08-06
Bus Driver,Vehicle Sim,Rated E For Everyone,6.9,35.0,PC,61,10,/games/boxart/7987462ccc.jpg,Meridian4,SCS Software,,0.01,,,0.01,,2008-05-30,
The Assembly,Miscellaneous,Rated T For Teen,6.5,11.0,PS4,53,12,/games/boxart/full_6679144AmericaFrontccc.jpg,nDreams,nDreams,,,,,,,2016-10-13,2018-09-21
The Assembly,Miscellaneous,Rated T For Teen,6.5,11.0,PC,55,11,/games/boxart/full_9111879AmericaFrontccc.jpg,nDreams,nDreams,,,,,,,2016-07-19,2018-09-21
NHL 24,Hockey Sim,Rated E +10 For Everyone +10,3.4,78.0,PS5,71,19,/games/boxart/full_7009258AmericaFrontccc.jpg,Unknown,EA Vancouver,,,,,,,10/6/2023,2023-11-06
Kessen II,Real-Time Strategy,Rated T For Teen,8.1,19.0,PS2,71,15,/games/boxart/full_6806718AmericaFrontccc.jpg,KOEI,Koei,,0.46,0.13,0.2,0.1,0.03,2001-09-26,
Wargame: Red Dragon,Real-Time Tactics,,7.9,216.0,PC,78,19,/games/boxart/full_5895130PALFrontccc.jpg,Focus Home Interactive,Unknown,,,,,,,2014-07-01,
Advance Guardian Heroes,2D Beat-'Em-Up,Rated E For Everyone,,,GBA,65,25,/games/boxart/full_advance-guardian-heroes_729AmericaFront.jpg,Ubisoft,"Treasure Co., Ltd.",7.0,0.04,0.03,,0.01,0.0,2004-09-14,
Suikoden IV,JRPG,Rated T For Teen,7.2,70.0,PS2,63,44,/games/boxart/7346049ccc.jpg,Konami,Konami Computer Entertainment Tokyo,6.3,0.66,0.17,0.3,0.13,0.05,2005-01-11,
RPG Time: The Legend of Wright,RPG,Rated E +10 For Everyone +10,,,XOne,tbd,3,/games/boxart/full_990360AmericaFrontccc.png,Desk Works,Desk Works,,,,,,,2020-12-01,2019-06-09
RPG Time: The Legend of Wright,RPG,Rated E +10 For Everyone +10,,,PC,tbd,2,/games/boxart/full_9052485AmericaFrontccc.png,Desk Works,Desk Works,,,,,,,2020-12-01,2019-06-09
Final Fantasy XVI,Action RPG,Rated M For Mature,8.1,10234.0,PS5,87,149,/games/boxart/full_5055053AmericaFrontccc.png,Square Enix,Square Enix,,,,,,,2023-06-22,2020-09-16
The Stanley Parable,First-Person Adventure,,8.1,2358.0,PC,88,47,/games/boxart/full_5440716AmericaFrontccc.jpg,Galactic Cafe,Galactic Cafe,,,,,,,2013-10-17,2018-01-19
