title,genres,product rating,user score,user ratings count,platform,metascore,metascore_count,img,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release date,last_update
4X4 EVO 2,Auto Racing Sim,Rated E For Everyone,,,XB,59,15,/games/boxart/5011937ccc.jpg,Gathering of Developers,Terminal Reality,,0.24,0.18,,0.05,0.01,2001-11-14,
4X4 EVO 2,Auto Racing Sim,Rated E For Everyone,,,GC,56,7,/games/boxart/6083195ccc.jpg,VU Games,Terminal Reality,5.1,0.14,0.11,,0.03,0.0,2002-09-09,
Gothic 3,Western RPG,Rated T For Teen,7.5,832.0,PC,63,39,/games/boxart/3146876ccc.jpg,Aspyr,Piranha Bytes,6.8,,,,,,2006-11-14,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,Wii,86,36,/games/boxart/full_2081446AmericaFrontccc.jpg,RedOctane,Vicarious Visions,8.6,4.6,3.04,0.0,1.12,0.44,2007-10-28,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,PS2,82,24,/games/boxart/full_5372169AmericaFrontccc.jpg,RedOctane,BudCat Creations,8.2,4.98,3.49,0.01,0.01,1.48,2007-10-28,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,PS3,83,45,/games/boxart/full_7921457AmericaFrontccc.jpg,RedOctane,Neversoft,8.2,2.25,1.4,0.02,0.53,0.3,2007-10-28,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,X360,85,69,/games/boxart/full_3667121PALFrontccc.jpg,RedOctane,Neversoft,8.7,4.53,3.19,0.01,0.91,0.42,2007-10-28,
Guitar Hero III: Legends of Rock,Rhythm,Rated T For Teen,8.4,144.0,PC,79,15,/games/boxart/2572111ccc.jpg,Aspyr,Aspyr,,0.02,0.02,,,0.0,2007-11-13,
Xenoraid,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,6.0,NS,61,6,/games/boxart/full_5432569AmericaFrontccc.png,10tons Ltd,10tons Ltd,,,,,,,2017-11-17,2018-03-26
Retrovirus,FPS,,6.6,20.0,PC,70,12,/games/boxart/full_139033AmericaFrontccc.jpg,Cadenza Interactive,Cadenza Interactive,,,,,,,2013-01-31,2019-03-24
"Warhammer 40,000: Space Marine",Third Person Shooter,Rated M For Mature,7.8,259.0,PC,74,34,/games/boxart/full_warhammer-40000-space-marine_997AmericaFront.jpg,THQ,Relic Entertainment,7.7,,,,,,2011-09-06,
"Warhammer 40,000: Space Marine",Third Person Shooter,Rated M For Mature,7.8,259.0,X360,76,57,/games/boxart/full_warhammer-40000-space-marine_522AmericaFront.jpg,THQ,Relic Entertainment,7.3,0.56,0.25,,0.26,0.06,2011-09-06,
"Warhammer 40,000: Space Marine",Third Person Shooter,Rated M For Mature,7.8,259.0,PS3,70,46,/games/boxart/full_warhammer-40000-space-marine_765AmericaFront.jpg,THQ,Relic Entertainment,7.3,0.45,0.13,,0.24,0.08,2011-09-06,
Star Wars Episode III: Revenge of the Sith,Action Adventure,Rated T For Teen,7.7,27.0,PS2,60,34,/games/boxart/full_5479051AmericaFrontccc.jpg,LucasArts,The Collective,,3.32,1.47,0.03,1.39,0.43,2005-05-04,
Star Wars Episode III: Revenge of the Sith,Action Adventure,Rated T For Teen,7.7,27.0,XB,61,44,/games/boxart/full_9860865AmericaFrontccc.jpg,LucasArts,The Collective,,1.24,0.82,,0.38,0.04,2005-05-04,
Star Wars Episode III: Revenge of the Sith,Action Adventure,Rated T For Teen,7.7,27.0,DS,73,22,/games/boxart/full_9506557AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,7.3,0.31,0.25,,0.03,0.02,2005-05-04,
Star Wars Episode III: Revenge of the Sith,Action Adventure,Rated T For Teen,7.7,27.0,GBA,73,13,/games/boxart/full_4947760AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,,0.72,0.52,,0.19,0.01,2005-05-04,
Saints Row IV,Open-World Action,Rated M For Mature,7.4,1997.0,PC,86,45,/games/boxart/full_4761871AmericaFrontccc.jpg,Deep Silver,Volition Inc.,,0.19,0.11,,0.06,0.02,2013-08-20,2018-04-02
Saints Row IV,Open-World Action,Rated M For Mature,7.4,1997.0,X360,81,42,/games/boxart/full_7054702AmericaFrontccc.jpg,Deep Silver,Volition Inc.,,1.69,1.01,0.01,0.51,0.15,2013-08-20,2018-04-02
Saints Row IV,Open-World Action,Rated M For Mature,7.4,1997.0,PS3,76,26,/games/boxart/full_7865730AmericaFrontccc.jpg,Deep Silver,Volition Inc.,,1.33,0.58,0.09,0.45,0.21,2013-08-20,2018-04-02
Lumines,Matching Puzzle,Rated E +10 For Everyone +10,7.5,47.0,PSP,89,55,/games/boxart/default.jpg,Ubisoft,Unknown,,,,,,,2005-03-22,
Armored Core 3,Vehicle Combat Sim,Rated T For Teen,8.1,21.0,PS2,74,23,/games/boxart/3632050ccc.jpg,Agetec,From Software,,0.67,0.22,0.23,0.17,0.06,2002-09-05,
Amped 2,Skiing,Rated E For Everyone,8.4,9.0,XB,80,34,/games/boxart/421488ccc.jpg,Microsoft Game Studios,Indie Built,,0.25,0.2,,0.04,0.01,2003-10-28,
Sword of the Stars II: Lords of Winter,Strategy,Rated T For Teen,4.7,134.0,PC,44,14,/games/boxart/default.jpg,Paradox Interactive,Kerberos Productions,,,,,,,2011-10-28,
Buzz! Junior: Dino Den,Trivia,,,,PS2,69,8,/games/boxart/full_896102PALFrontccc.jpg,Sony Computer Entertainment,Cohort Studios,,,,,,,2008-02-22,
Neon White,FPS,Rated T For Teen,8.4,190.0,NS,88,23,/games/boxart/full_3233771AmericaFrontccc.jpg,Unknown,Ben Esposito,,,,,,,6/16/2022,2021-02-18
Neon White,FPS,Rated T For Teen,8.4,190.0,PC,89,44,/games/boxart/full_5339679AmericaFrontccc.jpg,Unknown,Ben Esposito,,,,,,,6/16/2022,2021-02-18
Cosmic Star Heroine,JRPG,Rated T For Teen,7.4,33.0,PC,77,8,/games/boxart/full_8525860AmericaFrontccc.png,Zeboyd Games,Zeboyd Games,7.5,,,,,,2017-04-11,2018-01-25
Silent Hunter 5: Battle of the Atlantic,Marine Combat Sim,Rated T For Teen,5.6,46.0,PC,62,26,/games/boxart/full_1908208AmericaFrontccc.png,Ubisoft,Ubisoft Romania,,0.25,,,0.21,0.04,2010-03-02,
WWE 2K14,Wrestling,Rated T For Teen,7.7,128.0,X360,75,43,/games/boxart/full_8746356AmericaFrontccc.jpg,2K Sports,Yuke's,7.6,1.12,0.64,,0.38,0.1,2013-10-29,2018-10-08
WWE 2K14,Wrestling,Rated T For Teen,7.7,128.0,PS3,74,22,/games/boxart/full_7362642AmericaFrontccc.jpg,2K Sports,Yuke's,7.6,1.2,0.49,,0.51,0.2,2013-10-29,2018-10-08
Murder by Numbers,Visual Novel,,6.7,23.0,PC,79,23,/games/boxart/default.jpg,Unknown,Mediatonic,,,,,,,3/6/2020,2020-12-21
Murder by Numbers,Visual Novel,,6.7,23.0,NS,78,17,/games/boxart/full_4397978AmericaFrontccc.jpg,Unknown,Mediatonic,,,,,,,3/6/2020,2020-12-21
Ratchet & Clank: Size Matters,3D Platformer,Rated E +10 For Everyone +10,8.0,191.0,PSP,85,50,/games/boxart/full_9727386AmericaFrontccc.jpg,Sony Computer Entertainment,High Impact Games,8.5,3.75,1.4,0.1,1.4,0.86,2007-02-13,
Ratchet & Clank: Size Matters,3D Platformer,Rated E +10 For Everyone +10,8.0,191.0,PS2,62,35,/games/boxart/3642943ccc.jpg,Sony Computer Entertainment,High Impact Games,,0.29,0.13,0.03,0.1,0.03,2008-03-11,
Unepic,Action RPG,Rated T For Teen,7.5,58.0,PC,68,5,/games/boxart/full_406521AmericaFrontccc.jpg,Unknown,@unepic_fran,,,,,,,2011-09-30,2018-01-07
Unepic,Action RPG,Rated T For Teen,7.5,58.0,WiiU,72,19,/games/boxart/default.jpg,EnjoyUp Games,Unknown,,,,,,,2014-01-16,
Unepic,Action RPG,Rated T For Teen,7.5,58.0,NS,65,4,/games/boxart/full_1650171AmericaFrontccc.png,Francis Cota,@unepic_fran,,,,,,,2017-12-15,2018-03-26
MLB The Show 18,Baseball Sim,Rated E For Everyone,6.3,103.0,PS4,82,38,/games/boxart/full_2713808AmericaFrontccc.jpg,Sony Interactive Entertainment,SIE San Diego Studio,,1.06,0.86,,,0.2,2018-03-27,2018-09-17
Smelter,2D Platformer,Rated T For Teen,6.8,,PS4,65,6,/games/boxart/full_1746862AmericaFrontccc.jpg,Unknown,X Plus Company Limited,,,,,,,4/22/2021,2021-04-15
Smelter,2D Platformer,Rated T For Teen,6.8,,NS,75,9,/games/boxart/full_4629084AmericaFrontccc.jpg,Unknown,X Plus Company Limited,,,,,,,4/22/2021,2021-04-15
Smelter,2D Platformer,Rated T For Teen,6.8,,PC,73,5,/games/boxart/full_446803AmericaFrontccc.jpg,Unknown,X Plus Company Limited,,,,,,,4/22/2021,2021-04-15
Smelter,2D Platformer,Rated T For Teen,6.8,,XOne,82,4,/games/boxart/full_4528377AmericaFrontccc.jpg,Unknown,X Plus Company Limited,,,,,,,4/22/2021,2021-04-15
Dying Light,Survival,Rated M For Mature,8.1,2143.0,XOne,74,26,/games/boxart/full_1130191AmericaFrontccc.jpg,Warner Bros. Interactive Entertainment,Techland,,1.47,1.01,0.01,0.31,0.14,2016-02-06,2018-05-04
Dying Light,Survival,Rated M For Mature,8.1,2143.0,PC,75,40,/games/boxart/full_5613940PALFrontccc.jpg,Warner Bros. Interactive Entertainment,Techland,,,,,,,2016-02-06,2018-05-04
Dying Light,Survival,Rated M For Mature,8.1,2143.0,PS4,74,58,/games/boxart/full_1175839AmericaFrontccc.jpg,Warner Bros. Interactive,Techland,,2.45,1.18,0.13,0.74,0.4,2015-01-27,2018-05-04
Conflict: Desert Storm,Tactical Third Person Shooter,Rated T For Teen,7.8,6.0,XB,65,14,/games/boxart/9182498ccc.jpg,Gotham Games,Pivotal Games,,0.87,0.48,,0.37,0.02,2002-09-30,
Conflict: Desert Storm,Tactical Third Person Shooter,Rated T For Teen,7.8,6.0,PC,56,4,/games/boxart/full_5439155AmericaFrontccc.jpg,Gotham Games,Pivotal Games,,0.0,,,0.0,0.0,2002-10-01,
Conflict: Desert Storm,Tactical Third Person Shooter,Rated T For Teen,7.8,6.0,PS2,55,10,/games/boxart/3599571ccc.jpg,Gotham Games,Pivotal Games,,1.57,0.98,,0.53,0.06,2002-09-30,
Conflict: Desert Storm,Tactical Third Person Shooter,Rated T For Teen,7.8,6.0,GC,62,19,/games/boxart/full_2576352AmericaFrontccc.jpg,Gotham Games,Pivotal Games,6.3,0.08,0.06,,0.02,0.0,2003-04-22,
Far Cry 3: Blood Dragon,FPS,Rated M For Mature,8.4,413.0,X360,80,51,/games/boxart/default.jpg,Ubisoft,Unknown,,,,,,,2013-05-01,
Far Cry 3: Blood Dragon,FPS,Rated M For Mature,8.4,413.0,PS3,82,24,/games/boxart/default.jpg,Ubisoft,Unknown,,,,,,,2013-05-01,
Far Cry 3: Blood Dragon,FPS,Rated M For Mature,8.4,413.0,PC,81,31,/games/boxart/full_859634AmericaFrontccc.jpg,Ubisoft,Ubisoft Montreal,,,,,,,2013-05-01,2018-05-25
Yu-Gi-Oh! World Championship 2007,Card Battle,Rated E For Everyone,7.0,20.0,DS,76,8,/games/boxart/full_511114AmericaFrontccc.jpg,Konami,Konami,,0.05,,0.04,0.01,0.0,2007-03-20,
MotoGP 2,Auto Racing Sim,Rated E For Everyone,4.8,,XB,87,23,/games/boxart/4082972ccc.jpg,THQ,Climax Group,,0.1,0.07,,0.02,0.0,2003-05-21,
MotoGP 2,Auto Racing Sim,Rated E For Everyone,4.8,,PC,84,5,/games/boxart/full_436097AmericaFrontccc.jpg,THQ,Climax Group,,,,,,,2003-05-21,
Swing Away Golf,Golf,Rated E For Everyone,,,PS2,78,15,/games/boxart/9664462ccc.jpg,Electronic Arts,Tikipod,,0.52,0.17,0.18,0.13,0.04,2000-10-25,
Counter-Strike: Source,Tactical FPS,Rated M For Mature,8.2,1352.0,PC,88,9,/games/boxart/full_9030886AmericaFrontccc.jpg,VU Games,Valve Software,9.3,,,,,,2004-11-16,
Allegiance,Space Combat Sim,Rated E For Everyone,7.3,18.0,PC,86,17,/games/boxart/full_6780709AmericaFrontccc.jpg,Microsoft,Microsoft Game Studios,,,,,,,2000-03-31,
Harry Potter and the Prisoner of Azkaban,Action Adventure,Rated E For Everyone,8.0,62.0,PC,67,19,/games/boxart/2968956ccc.jpg,Electronic Arts,KnowWonder,,0.04,,,0.03,0.0,2004-05-25,
Harry Potter and the Prisoner of Azkaban,Action Adventure,Rated E For Everyone,8.0,62.0,PS2,70,29,/games/boxart/9783159ccc.jpg,Electronic Arts,Electronic Arts,,1.02,0.5,,0.39,0.13,2004-06-02,
Harry Potter and the Prisoner of Azkaban,Action Adventure,Rated E For Everyone,8.0,62.0,GC,67,22,/games/boxart/8038336ccc.jpg,Electronic Arts,Electronic Arts,,0.38,0.29,,0.08,0.01,2004-06-02,
Harry Potter and the Prisoner of Azkaban,Action Adventure,Rated E For Everyone,8.0,62.0,XB,67,23,/games/boxart/5535136ccc.jpg,Electronic Arts,Electronic Arts,,0.19,0.14,,0.04,0.01,2004-06-02,
World of Final Fantasy,JRPG,Rated E +10 For Everyone +10,7.6,411.0,PS4,77,82,/games/boxart/full_2016907AmericaFrontccc.jpg,Square Enix,Square Enix,6.7,0.62,0.24,0.09,0.21,0.09,2016-10-25,2018-05-23
World of Final Fantasy,JRPG,Rated E +10 For Everyone +10,7.6,411.0,PSV,77,5,/games/boxart/full_7349452AmericaFrontccc.jpg,Square Enix,Square Enix,,0.35,0.09,0.09,0.11,0.06,2016-10-25,2018-05-23
World of Final Fantasy,JRPG,Rated E +10 For Everyone +10,7.6,411.0,PC,77,11,/games/boxart/full_5512276AmericaFrontccc.jpeg,Square Enix,Square Enix,,,,,,,2017-11-21,2018-01-03
Star Wars: Bounty Hunter,Third Person Shooter,Rated T For Teen,7.8,43.0,PS2,65,32,/games/boxart/full_1267264AmericaFrontccc.jpg,LucasArts,LucasArts,,1.09,0.53,,0.42,0.14,2002-11-22,
Star Wars: Bounty Hunter,Third Person Shooter,Rated T For Teen,7.8,43.0,GC,67,20,/games/boxart/3867230ccc.jpg,LucasArts,LucasArts,,0.26,0.2,,0.05,0.01,2002-12-07,
Half-Life,FPS,Rated M For Mature,9.1,4847.0,PC,96,24,/games/boxart/full_8260273AmericaFrontccc.jpg,Sierra Entertainment,Valve Software,9.5,,,,,,1998-11-19,
Half-Life,FPS,Rated M For Mature,9.1,4847.0,PS2,87,24,/games/boxart/6054300ccc.gif,Sierra Entertainment,Gearbox Software,8.4,0.6,0.29,,0.23,0.08,2001-11-11,
Pool Panic,Action Adventure,Rated E +10 For Everyone +10,7.0,14.0,NS,71,19,/games/boxart/full_4713472AmericaFrontccc.png,Adult Swim,Rekim,,,,,,,2018-12-01,2018-03-25
Bejeweled Twist,Matching Puzzle,Rated E For Everyone,7.7,14.0,PC,78,12,/games/boxart/full_1527122AmericaFrontccc.jpg,PopCap Games,PopCap Games,,0.05,0.01,,0.04,0.01,2008-10-27,
Bejeweled Twist,Matching Puzzle,Rated E For Everyone,7.7,14.0,DS,77,10,/games/boxart/full_2305082AmericaFrontccc.jpg,PopCap Games,Griptonite Games,,0.1,,,0.08,0.01,2010-01-19,
Jak II,3D Platformer,Rated T For Teen,8.4,454.0,PS2,87,47,/games/boxart/full_8152384AmericaFrontccc.jpg,Sony Computer Entertainment,Naughty Dog,,,,,,,2003-10-14,
Senran Kagura Reflexions,Adventure,Rated M For Mature,7.7,49.0,NS,39,18,/games/boxart/full_2705515AmericaFrontccc.png,Xseed Games,HONEY PARADE GAMES,,,,,,,2018-09-13,2018-10-14
MLB 2006,Baseball Sim,Rated E For Everyone,,,PS2,81,32,/games/boxart/7999756ccc.gif,Sony Computer Entertainment,989 Sports,,0.4,0.33,,0.01,0.05,2005-03-08,
Majesty 2: Kingmaker,Strategy,Rated T For Teen,7.3,10.0,PC,60,8,/games/boxart/full_majesty-2-kingmaker_980AmericaFront.jpg,Paradox Interactive,1C:Ino-Co,,,,,,,2010-03-26,
Traitors Gate,Adventure,Rated E For Everyone,4.6,5.0,PC,63,12,/games/boxart/full_5312729AmericaFrontccc.jpg,DreamCatcher Interactive,Daydream Software,,,,,,,2000-04-30,
Resident Evil: Revelations,Survival,Rated M For Mature,8.4,577.0,PS3,74,30,/games/boxart/full_8695378AmericaFrontccc.jpg,Capcom,Capcom,7.6,0.76,0.14,0.22,0.32,0.09,2013-05-21,2018-03-16
Resident Evil: Revelations,Survival,Rated M For Mature,8.4,577.0,3DS,82,78,/games/boxart/full_resident-evil-revelations_61AmericaFront.jpg,Capcom,Capcom,7.8,0.89,0.3,0.3,0.23,0.05,2012-02-07,
Resident Evil: Revelations,Survival,Rated M For Mature,8.4,577.0,PC,77,12,/games/boxart/full_9877297PALFrontccc.jpg,Capcom,Capcom,7.0,,,,,,2013-05-21,2018-03-16
Resident Evil: Revelations,Survival,Rated M For Mature,8.4,577.0,WiiU,80,19,/games/boxart/full_9137764AmericaFrontccc.jpg,Capcom,Capcom,7.5,0.22,0.09,0.03,0.08,0.02,2013-05-21,2018-03-16
Resident Evil: Revelations,Survival,Rated M For Mature,8.4,577.0,X360,75,30,/games/boxart/full_2467525AmericaFrontccc.jpg,Capcom,Capcom,7.4,0.26,0.12,0.02,0.1,0.02,2013-05-21,2018-03-16
Resident Evil: Revelations,Survival,Rated M For Mature,8.4,577.0,XOne,78,6,/games/boxart/full_528028AmericaFrontccc.jpg,Capcom,Capcom,,0.02,0.02,,,0.0,2017-08-29,2018-03-16
Resident Evil: Revelations,Survival,Rated M For Mature,8.4,577.0,PS4,70,32,/games/boxart/full_585428AmericaFrontccc.jpg,Capcom,Capcom,7.2,0.18,0.06,0.04,0.06,0.02,2017-08-29,2018-03-16
Resident Evil: Revelations,Survival,Rated M For Mature,8.4,577.0,NS,78,19,/games/boxart/full_5041542JapanFrontccc.jpg,Capcom,Capcom,,,,,,,2017-11-30,2018-03-16
MechWarrior 4: Black Knight Expansion,Vehicle Combat Sim,Rated T For Teen,6.8,8.0,PC,78,10,/games/boxart/full_2890080AmericaFrontccc.jpg,Microsoft,Cyberlore Studios,,,,,,,2001-10-31,
Wallace & Gromit in Project Zoo,3D Platformer,Rated E For Everyone,2.3,39.0,XB,63,9,/games/boxart/7919126ccc.jpg,BAM! Entertainment,Frontier Developments,,0.03,0.02,,0.01,0.0,2003-10-14,
Wallace & Gromit in Project Zoo,3D Platformer,Rated E For Everyone,2.3,39.0,GC,66,9,/games/boxart/371370ccc.jpg,BAM! Entertainment,Frontier Developments,6.6,0.07,0.05,,0.01,0.0,2003-10-14,
Wallace & Gromit in Project Zoo,3D Platformer,Rated E For Everyone,2.3,39.0,PS2,67,15,/games/boxart/9679902ccc.jpg,BAM! Entertainment,Frontier Developments,,0.23,0.11,,0.09,0.03,2003-10-07,
Crusty Demons,Arcade Racing,Rated M For Mature,,,XB,51,21,/games/boxart/2778735ccc.jpg,Evolved Games,Climax Group,,0.01,0.01,,0.0,0.0,2006-06-27,
Train Fever,Train Sim,,6.9,93.0,PC,67,23,/games/boxart/full_647878PALFrontccc.jpg,Good Shepherd Entertainment,Urban Games,,,,,,,2014-09-04,2018-08-11
Star Trek: Elite Force II,FPS,Rated T For Teen,8.0,40.0,PC,78,28,/games/boxart/9522596ccc.jpg,Activision,Ritual Entertainment,,,,,,,2003-06-25,
Street Supremacy,Auto Racing Sim,Rated E For Everyone,,,PSP,41,31,/games/boxart/4886216ccc.jpg,Konami,Genki,,0.03,0.03,,,0.0,2006-02-28,
Tales of Symphonia Remastered,Action RPG,Rated T For Teen,3.8,23.0,NS,63,26,/games/boxart/full_228374AmericaFrontccc.jpg,Unknown,Namco Tales Studio,,,,,,,2/17/2023,2023-01-05
Tales of Symphonia Remastered,Action RPG,Rated T For Teen,3.8,23.0,PS4,68,16,/games/boxart/full_3506498AmericaFrontccc.jpg,Unknown,Namco Tales Studio,,,,,,,2/17/2023,2023-01-05
Tales of Symphonia Remastered,Action RPG,Rated T For Teen,3.8,23.0,XOne,tbd,4,/games/boxart/full_91815AmericaFrontccc.jpg,Unknown,Namco Tales Studio,,,,,,,2/17/2023,2023-01-05
War for the Overworld,Real-Time Strategy,,7.9,132.0,PC,65,14,/games/boxart/full_6812545AmericaFrontccc.jpg,Unknown,Unknown,,,,,,,2015-04-02,
Super Smash Bros. Ultimate,2D Fighting,Rated E +10 For Everyone +10,8.6,4133.0,NS,93,110,/games/boxart/full_8608465AmericaFrontccc.jpg,Nintendo,Bandai Namco Games,9.4,,,,,,2018-12-07,2022-10-02
The Sims 2: Nightlife,Virtual Life,Rated T For Teen,4.2,35.0,PC,76,31,/games/boxart/full_the-sims-2-nightlife_255AmericaFront.jpg,Electronic Arts,Maxis,7.5,1.27,1.22,,0.05,,2005-09-13,
Insurgency: Sandstorm,Tactical FPS,Rated M For Mature,8.0,250.0,PC,78,32,/games/boxart/full_8404502AmericaFrontccc.jpg,Focus Home Interactive,New World Interactive,,,,,,,2018-12-12,2018-12-12
Insurgency: Sandstorm,Tactical FPS,Rated M For Mature,8.0,250.0,XOne,83,7,/games/boxart/full_8315009AmericaFrontccc.jpg,Focus Home Interactive,New World Interactive,,,,,,,2020-12-25,2018-12-12
Insurgency: Sandstorm,Tactical FPS,Rated M For Mature,8.0,250.0,PS4,78,6,/games/boxart/full_4585765AmericaFrontccc.jpg,Focus Home Interactive,New World Interactive,,,,,,,2020-12-25,2018-12-12
MechCommander 2,Strategy,Rated T For Teen,7.8,33.0,PC,80,18,/games/boxart/full_1576296AmericaFrontccc.jpg,Microsoft,FASA Interactive,,,,,,,2001-07-18,
After Us,Action Adventure,Rated T For Teen,6.0,31.0,PS5,65,38,/games/boxart/full_8578278AmericaFrontccc.jpg,Unknown,Piccolo,,,,,,,5/23/2023,2022-12-09
After Us,Action Adventure,Rated T For Teen,6.0,31.0,PC,71,12,/games/boxart/full_8499923AmericaFrontccc.jpg,Unknown,Piccolo,,,,,,,5/23/2023,2022-12-09
Capsized,2D Platformer,Rated T For Teen,6.8,20.0,PC,80,19,/games/boxart/full_capsized_932AmericaFront.jpg,Unknown,Alientrap Games Inc,7.9,,,,,,2011-04-29,
Pipe Mania,Action Puzzle,Rated E For Everyone,,,DS,71,13,/games/boxart/full_7903533AmericaFrontccc.jpg,Empire Interactive,Razorworks Studios,,0.09,0.08,,0.01,0.01,2008-09-26,
Pipe Mania,Action Puzzle,Rated E For Everyone,,,PS2,68,4,/games/boxart/1672432ccc.jpg,Empire Interactive,Razorworks Studios,,0.14,0.07,,0.05,0.02,2008-09-26,
Pipe Mania,Action Puzzle,Rated E For Everyone,,,PC,tbd,3,/games/boxart/full_2563707AmericaFrontccc.jpg,Empire Interactive,Razorworks Studios,,,,,,,2008-09-26,
Pipe Mania,Action Puzzle,Rated E For Everyone,,,PSP,74,6,/games/boxart/2260342ccc.jpg,Empire Interactive,Razorworks Studios,,0.07,0.06,,0.0,0.01,2008-09-26,
The Godfather,Open-World Action,Rated M For Mature,8.1,14.0,PC,72,32,/games/boxart/full_3910409AmericaFrontccc.jpg,Electronic Arts,Headgate,,0.0,,,0.0,0.0,2006-03-21,
The Godfather,Open-World Action,Rated M For Mature,8.1,14.0,PS2,75,56,/games/boxart/full_7602742AmericaFrontccc.jpg,Electronic Arts,Headgate,,1.09,0.89,0.01,0.03,0.15,2006-03-21,
Frostpunk,Management,Rated M For Mature,8.4,1009.0,PC,84,70,/games/boxart/full_942623AmericaFrontccc.jpg,11 bit studios,11 bit studios,,,,,,,2018-04-24,2019-04-24
Frostpunk,Management,Rated M For Mature,8.4,1009.0,XOne,84,9,/games/boxart/full_7457382AmericaFrontccc.jpg,11 bit studios,11 bit studios,,,,,,,2019-10-11,2019-05-28
Frostpunk,Management,Rated M For Mature,8.4,1009.0,PS4,87,18,/games/boxart/full_1691229AmericaFrontccc.jpg,11 bit studios,11 bit studios,,,,,,,2019-10-11,2019-05-28
Phantasy Star Universe,Action RPG,Rated T For Teen,7.1,23.0,PS2,68,18,/games/boxart/full_8556745AmericaFrontccc.jpg,Sega,Sonic Team,6.4,,,,,,2006-10-24,
Phantasy Star Universe,Action RPG,Rated T For Teen,7.1,23.0,PC,59,19,/games/boxart/full_phantasy-star-universe_3AmericaFront.jpg,Sega,Sonic Team,6.4,0.0,,,0.0,0.0,2006-10-24,
Phantasy Star Universe,Action RPG,Rated T For Teen,7.1,23.0,X360,64,34,/games/boxart/full_5194066AmericaFrontccc.jpg,Sega,Sonic Team,6.6,0.12,0.09,,0.01,0.01,2006-10-25,
Harry Potter for Kinect,Action Adventure,Rated E +10 For Everyone +10,4.7,21.0,X360,54,15,/games/boxart/full_9338034AmericaFrontccc.jpg,Warner Bros. Interactive Entertainment,Eurocom,,0.0,,,0.0,0.0,2009-10-09,2019-05-01
Narco Terror,Third Person Shooter,Rated M For Mature,5.9,13.0,X360,50,13,/games/boxart/default.jpg,Deep Silver,Unknown,,,,,,,2013-07-30,
Narco Terror,Third Person Shooter,Rated M For Mature,5.9,13.0,PC,tbd,2,/games/boxart/default.jpg,Deep Silver,Unknown,,,,,,,2013-07-30,
Narco Terror,Third Person Shooter,Rated M For Mature,5.9,13.0,PS3,55,5,/games/boxart/default.jpg,Deep Silver,Unknown,,,,,,,2013-07-30,
Max: The Curse of Brotherhood,Action Adventure,Rated E +10 For Everyone +10,7.4,309.0,XOne,72,51,/games/boxart/full_8099978AmericaFrontccc.png,Microsoft Studios,Press Play,,,,,,,2013-12-20,2019-03-23
Max: The Curse of Brotherhood,Action Adventure,Rated E +10 For Everyone +10,7.4,309.0,NS,73,13,/games/boxart/full_1856705AmericaFrontccc.jpg,Wired Productions,Stage Clear Studios,,0.01,0.01,,,0.0,2018-04-24,2019-03-23
Need for Speed: ProStreet,Auto Racing Sim,Rated E +10 For Everyone +10,7.0,73.0,X360,72,42,/games/boxart/full_2163996AmericaFrontccc.jpg,Electronic Arts,EA Black Box,7.1,2.05,1.04,0.01,0.79,0.21,2007-11-15,
Need for Speed: ProStreet,Auto Racing Sim,Rated E +10 For Everyone +10,7.0,73.0,Wii,61,16,/games/boxart/2110701ccc.jpg,Electronic Arts,EA Black Box,,1.1,0.53,,0.45,0.12,2007-11-13,
Need for Speed: ProStreet,Auto Racing Sim,Rated E +10 For Everyone +10,7.0,73.0,PS3,73,26,/games/boxart/3962299ccc.jpg,Electronic Arts,EA Black Box,7.2,2.04,0.73,0.04,0.91,0.36,2007-11-13,
Need for Speed: ProStreet,Auto Racing Sim,Rated E +10 For Everyone +10,7.0,73.0,PS2,62,11,/games/boxart/9522566ccc.jpg,Electronic Arts,EA Black Box,,2.41,0.69,0.04,0.0,1.68,2007-11-13,
Need for Speed: ProStreet,Auto Racing Sim,Rated E +10 For Everyone +10,7.0,73.0,PSP,57,14,/games/boxart/full_8585987AmericaFrontccc.jpg,Electronic Arts,EA Black Box,5.6,0.78,0.24,0.01,0.33,0.19,2008-02-18,
Need for Speed: ProStreet,Auto Racing Sim,Rated E +10 For Everyone +10,7.0,73.0,DS,74,8,/games/boxart/2258993ccc.jpg,Electronic Arts,EA Black Box,,0.13,0.11,,0.01,0.01,2007-11-13,
Need for Speed: ProStreet,Auto Racing Sim,Rated E +10 For Everyone +10,7.0,73.0,PC,70,18,/games/boxart/2608660ccc.jpg,Electronic Arts,EA Black Box,,0.04,,,0.04,0.0,2007-11-13,
Mighty Goose,2D Platformer,Rated E +10 For Everyone +10,7.5,13.0,NS,74,16,/games/boxart/full_1560458AmericaFrontccc.jpg,Unknown,Blastmode,,,,,,,6/5/2021,2021-06-02
